Post,Comments
,"{'ViCky Malik': {}, 'WAsi Muhammad KHan': {}}"
,{}
Paid MTO Program Educational Background: BBA/MBA/Electrical Engineer,{'Shaheryar Shakil': {}}
,"{'Muhammad Usama Umar': {'text': 'No spring in fast.'}, 'Haider Sarfraz': {'text': 'Admission to ho skta hy, pr marks k baad GPA bhi km chahye to phir idhr apply krna'}}"
" > BBA-MBA(Marketing) for Customer Care  > BSC/MSC for Listing , Magento Developer & E-commerce Inventory Management >25k-30k if selected for job Interested candidates can share their resumes at: sana.irfan@rightjobs.pk",{}
,{}
,{}
Asalam o alaiqum! Someone please guide me about test pattern of BSCS and from where should we study for it (material) etc. My younger brother has to appear for test in upcoming admissions.,"{'Mubashir Ali': {'text': 'Focus on Adv. maths only. Phy, Eng and I.q only depends upon your understanding.'}}"
,{}
"We are hiring Customer Service Representative (CSR) having UK Based Project (Injury Claims) at TELENERDS Requirements: Good communication skills (English) Good telecommunication skills Hard Working & Dedicative... Male & Female both can apply Fixed salary + Attractive bonuses + Incentives Working Hours: 3:00 PM to 11.00 PM Office Address: Office # 01 First Floor, Kashmir Road, Saddar Rawalpindi. Interested candidates should send your CV’S at E-mail: telenerds1@gmail.com Contact number: +92-330-5232492 WhatsApp Number: +92-336-9013238","{'Haider Sarfraz': {}, 'Engr Nayab Bukhari Syed': {'text': 'Pkg pls. 3+years exp. Bscs 7th semester stdnt'}}"
How is fast peshawar?is it possible that after studying two semesters from peshawar i transfer to fast islamabad?plz someone guide me..,"{'Asim Gujjar': {'text': 'Yes you can transfer to the other campus but after two semesters. Like you can come to isb with batch 20 but you have to give Entry test again with the required merit.'}, 'Mubashir Ali': {'text': ""Every campus is good. Companies don't give a damn tum jis marzi campus se parho. They only examine you in their interview.""}}"
,{}
,{}
Do anybody know when will be the admissions spring 20 will open?,{'Muhammad Usama Umar': {'text': 'No spring in fast'}}
Fast me ye sir kha mile ge Fast islamabad,"{'Waqas Kayani': {'text': 'Please join https://fastian .net forums'}, 'Muhammad Shahbaz': {}}"
"Finally Wait is Over....After Successfull completion of 1st Batch of all courses. New Batches of Cisco & Microsoft Professional Certification Courses going to be start at NUCES FAST, Islamabad.Professional Certification Courses which will going to be offered are as: CCNA (Routing & Switching) Course Duration (3 Months) CCNA (Cyber Security Operations) Course Duration (1.5 Months)... CCNA (Security)  Course Duration (1.5 Months) IT Essentials Course Duration (1.5 Months) MTA ((Microsoft Technology Associate) Course Duration (1.5 Months) MCSA (Microsoft Certified Solution Associate) Course Duration (1.5 Months) MCSE (Microsoft Certified Solution Expert) Course Duration (2 Months)",{}
MS Orientation day timing Islamabad campus,{'Rafay Khan Niazi': {'text': 'Kis department men ho ap?'}}
GUYS KOI BTA SKTA HAI CHANCELLOR YA RECTOR KI OFFICE TIMING AUR YE LOG ISLAMABAD CAMPUS MEIN BETHTAY HAIN?,{'Saba Butt': {}}
,"{'Ali Shan Qayyum': {}, 'Ghania Waqar': {'text': 'Is uni k spring admission ni hoty bba k ??'}}"
,{}
,"{'Ackil Omar Yousafzai': {'text': 'campus?'}, 'Zarafsha Batool': {}}"
Applied Programming Exemption Exam Topics,{'Usama Arshad': {'text': 'Test ki timing kia ha yar ???'}}
A&F k liya Konsi uni best hai Szabist ya FAST??,{'Mohammad Hassan Jehangir': {}}
Does anyone have the timetable for second week of BSCS?,{}
,"{'Muneeb Tariq': {'text': 'There is an underground disco club beneath the famous fast tree. Welcome sa la kr farewell parties sari wahan hoti hain. Secret code for entry is 12345'}, 'Mubashir Zainoor': {}}"
"A leading IT company located in Islamabad is urgently hiring candidates for the position of Full Stack Java Developer. The ideal resource must have 02-04 years of experience in J2EE, Spring MVC, Hibernate, Strong OOP concepts and knowledge of database will be a huge plus. Apply at: ehtishamhrm7@gmail.com (Mention Java Developer in email subject)",{}
,{'Ali Mehmood': {}}
"can someone share complete outline of 1st semester courses. I could not found them on slate, I will be thankful",{'Hamza Ali Imran': {'text': 'Teacher upload them in the beginning of courses'}}
Hey guys! I'm from BSCS. I couldn't attend orientation and can't attend this whole week. I'm joining from monday so what should I bring with me? I have no idea.,"{'Zain Hassan Chaudry': {}, 'Gulsher Khan': {}}"
,{}
,"{'Umair Afzal': {'text': 'Go for a flate it would be best instead of hostels'}, 'Hasnain Tariq': {'text': 'Apex hostel for boys F-11'}}"
,{}
"A leading IT company located in Islamabad is urgently hiring candidates for the position of Full Stack Java Developer. The ideal resource must have 02-04 years of experience in J2EE, Spring MVC, Hibernate, Strong OOP concepts and knowledge of database will be a huge plus. Apply at: ehtishamhrm7@gmail.com (Mention Java Developer in email subject)",{}
,{}
"Join us on our path to success, and build a career with us! To apply, send your resumes at job@creativemorph.com.",{}
,{'Arslan Majid': {}}
Confiz is hiring Software Engineer - #Java. For more details and to apply please visit: https://lnkd.in/gWZ2B5d,{}
Anyone have full course contents of Ap. programming nd design and analysis of algorithms for MSDS?,"{'Muhammad Hamza': {'text': 'applied programing course content                                                  1.stack, 2.queue, 3.link list ,4. dynamic vs static implementation,5. tree all type,6. graph all type, hashing,7. divide and conquer rule, 8.programing ethic and compiler ,9. major sorting algo + 1/2 more topics'}, 'Waqas Kayani': {'text': 'Please join https://fastian .net forums'}}"
,{}
Any Hostels Near Fast  Department BS EE,"{'Hassan Shehzad': {'text': 'G11 service road hostel best as public transport is also available at door.step'}, 'Muhammad Waqas Nazar': {'text': 'Lavish boys hostel G10/1'}}"
Does anyone know about transport services(van) here at fast?,"{'Faizan Hasan': {}, 'Muhammad Waqas Nazar': {}}"
Anyone who knows transport from bahria town side who has route other than 7:00 am also ??,"{'Hassaan Akram': {}, 'Saba Butt': {'text': 'what about uni transport'}}"
Anyone attended Bscs orientation today? Then please share schedule/timings.,{'Gulsher Khan': {}}
"Anyone from MSSE, who has attended orientation?","{'Waqas Kayani': {'text': 'Please join https://fastian .net forums'}, 'Mohammad Farooq': {}}"
Any one who knows MS-CNS classes timing ??,"{'Waqas Kayani': {'text': 'Please join https://fastian .net forums'}, 'Raheel Asim': {'text': 'Nd classes ki different timing hy 8:30 am sy 3:00 pm tk'}}"
 1) 3-6 years’ experience in web applications development 2) Sound expertise in AngularJS/React/vue.js 3) Hands-on with Web API (c#.net) an...d SQL Server 4) Good analytical and problem solving skills 5)Experience with material design/angular-material/polymer framework is preferred 6)Excellent communication skills for coordination with the clients Submit your resume here or email it at talent@systemsltd.com with the subject “Full Stack Developers”.,{}
"My admit card says that my degree is ""BBA-B"". What's that supposed to mean?","{'Emaad Anwar Khan': {}, 'Abubakar Rabbani': {}}"
,"{'Abdul Shakoor': {}, 'Faizan Shabbir': {}}"
Need info about hostels near fast!!!!,"{'Umar Munir': {}, 'Umer Arshad Butt': {}}"
Has anyone got the BSCS schedule? I could not attend the orientation.,{'Gulsher Khan': {}}
Can any one share class schedule for MS EE,{}
Anyone from MSCS????,"{'Waqas Kayani': {'text': 'Please join https://fastian .net forums'}, 'Ramsha Ahmad': {}}"
,{}
My aggregate is 53%.Do i still have chance for admission in EE in Islamabad campus considering merit lists r uploaded but still there any ray of hope...,"{'Hamza Masood': {'text': 'Ab aur lists ni lgni..... Orientation b hogai hai kal sab dept. Ki'}, 'Rehan Shabbir': {'text': '48% aggregate still hope for cyber security😏'}}"
" Become a part of female-powered platform! Work remotely with our team of 100+ IT professionals according to your flexible working hours. Explore work diversity with lots of learning and venture of professional growth. Eligibility: - English fluency - Bachelor degree in Computer Science, preferably, major in Business Analytics, Machine Learning or Data Sciences. Master or Ph.D. is a plus - Have taken Data Science courses - Experience with software - Located in the Middle East or South Asia region - Available to contribute a minimum of 25 hours per week - Computer access with stable internet and a Google Drive - High attention to detail - Willingness to learn and a growth mindset",{}
"#Fall_Admissions2k19 #CS_or_SE_or_CE?? Hello, today I want to talk about a common topic of the group and that is *Should we do SE,  CS or CE?*  First of all let me tell yout that... CS and SE are BS programs CE is an engineering program Computer Science: As far as I know, Computer Science is all related to software, hardware, networking, data structure, algorithms, etc  Software Engineering(Non-Engg): As the name suggests, it is basically based on coding and software development throught the 4 years session. Computer Engineering: It is a mixture of Electrical engg and Computer Science. A CE student learns both about Hardware, Electronics, Software etc. 1. Is SE an Engineering Program??  The answer is NO!! Thats because it is a sub beanch of CS, and honestly thats the fault of or education system that NUST, UET, Bahria and a few more call it PEC accrediated and name it under engineering program However, it was designed by the international computer organizations as a subbranch of CS so that those who only want to study software can choose this field and at that time they called it Software engineering.. If you have a PEC accrediation number with SE degree and then you apply for an engineering job in any international firm they wont consider you as an engineer cause the whole world considers it just a BS(hons) program... So thats now clear that even if its pec accrediated or not, the world will consider it as a non engineering program.. 2. Can we apply for Software Engineer job after CE? The answer is YES! you can apply in any firm or centre, the only requirement is having skills and thats it!. 3. Is it good to go for Software engineering? Yes thats good to go, but consider that its not an engineering program  you are going for simply BS. 4. Is CS and SE same??? Answer is yes, almost... these two programs offer almost same curriculum and skills. 5. Is CE same as SE or CS?? No, because CE is an engineering program so its different in CE we will study hardware, electeonics like(sensors, ics, etc) and also programming and software related courses. 6. Should I do SE? Yes if you have interest and dont  care for an engineering program you can go for it. 7. Which one is better? CS or SE? Answer is CS Saad Iqbal CE - Fall19 (COMSATS Lahore) Joining Sept 2nd, 2019","{'Syed Athar Ahmad Bukhari': {'text': 'Everyone please ask from the seniors, ask from the those who have done it before and who have gone through the process.'}, 'Mubashir Ali': {'text': ""How can you say that this is better. Don't disturb students by saying this is better than other. After cs you can't get a job to do everything. You'll always get a job of some specific skill. (Btw there are more jobs of software development than other cs courses in pk) For me SE is preferable because it gives me more grip on software. So, try to remove point 7.""}}"
,"{'Bilal Hasan': {}, 'Syed Athar Ahmad Bukhari': {}}"
Orientation timings? EE group?,{'Zunair Saleemi': {}}
What’s the timing of orientation? EE group,{}
Fast ka transfer ka kya scene ha?,"{'Sourav MaLani': {}, 'Muhammad Hammad Ali': {}}"
,{}
Bs software enginring m admishn ho ga na spring m,"{'Farooq Khan': {'text': 'BS. I think peshwar main hai'}, 'Bilal Sumra': {'text': 'MS hy SE me'}}"
"Send your resumes to jobs@creativemorph.com with the subject line ""QA Specialist"".",{}
BS new batch ke classes kb se start hongi?,"{'Waqas Kayani': {'text': 'Please join Fastian .net forums'}, 'Muhammad Munem Ahmed': {}}"
,"{'Saba Butt': {'text': 'not sure about phd but MS interviews and admission process is completed.'}, 'Waqas Kayani': {}}"
CS classes timings kya ha???,"{'Muhammad Munem Ahmed': {}, 'Sehr Noor': {'text': 'When do we register for courses online and how? As a new student'}}"
Fastian 😂,"{'Nida Manzar': {}, 'M Javaid Bokhari': {'text': 'the easiest tip that no one listens to: just revise the lectures daily and you wont even need to panic before the exam'}}"
,{}
,"{'Abdullah Nasir Cheema': {}, 'Muhammad Ahmed': {'text': '181k? na karein itni fees?'}}"
Old CS block kya h??,"{'Afnan Sohail': {}, 'Abdul Mateen': {}}"
Updated Time Table of 1st week,{}
,{}
,{}
Have any of you received your roll numbers for BSCS?,"{'Usama Khalid': {}, 'Hamza Sial': {}}"
Online course reg ki samjh aye hai kisi ko? For MS students.,"{'Ammar Asif': {}, 'Muhammad Hamza': {'text': 'Kaha PR karny hen online reg?'}}"
Kya se aur cs walon ka section same hoga is k accordance? Aur sections ki base py milte h?,"{'Faraiya Baig': {'text': 'Time table for BSCS isl campus'}, 'Farooq Khan': {}}"
MS (SE)  Time table Monday  Adv. Software Architecture (02:15 to 03:35)  Tuesday... Adv. SE ( 08:30 to 9:50)    App.Programming  (10:00 to 11:20)   Wednesday Adv. Software Architecture (02:15 to 03:35)  Thursday Adv. SE ( 08:30 to 9:50)    App.Programming  (10:00 to 11:20) RM SE (02:15 to 05:10),"{'Muhammad Umer': {'text': 'MS (DS)?'}, 'M Adil Latif': {}}"
,{'Tayyaba Azam Khan': {'text': 'Fast Islamabad mye 17 ko hai .. you will probably receive a message on your mentioned number .cuz 5 6 7 ko introductory session tha tu vo bhi via message inform howa tha'}}
Last date of fee submission was  30 july. Can we still get admission by paying fee?,"{'Hasan Habib': {'text': 'Visit university early morning with excuse meet director and see'}, 'Muhammad Javed': {}}"
When your 2nd year result comes. Apka phle se admission hua hota but agar apke number kam aaate and u fall below merit  Admission cancel tou ni hota seniors ?,"{'Shuja Ur Rehman': {}, 'M Usman Ashraf': {}}"
Fast islambad ki second merit list lag chuki ha ?,"{'Ashi Cheema': {'text': 'plz anyone can tell me the closing aggregate for bscs?'}, 'Rehan Shabbir': {'text': 'Konsa program hy?'}}"
"Job Description: •    Developing concepts, graphics, and layouts for product instructions, Company logo, website and magazine •    Designing creative concepts f...or different marketing mediums including electronic and print •    Liaising with designers and printers •    Working with photographers for product shoots •    Contacting creative and content writers for write-ups •    Giving a road map to the web developer for the company website. •    Keeping a close watch on market trend, market demand, and competitors activities.",{}
,{}
Did any of you recieve your roll numbers for BsCS,"{'Hamza Sial': {}, 'Farooq Khan': {}}"
" I applied this year in Tampere University, Finland, with the following profile and got full tuition fee waiver and due to lack of funds for living, I defer it to next year. BSCS 3.23 CGPA, ...",{}
What are we supposed to take to the orientation ?,"{'Muhammad Hassan': {}, 'Bassam Aslam': {}}"
,"{'Muhammad Najam Sheraz': {}, 'Mohammad Farooq': {}}"
FAST NUCES Lahore and Department of Computer Science warmly welcomes its MS students. Here is a quick glimpse of the Orientations Day of MS(CS)/DS/SPM Batch 2019. ,{}
"One-Off Studios is a PR & marketing agency working towards elevating customer experiences for its clients around the globe. If you’re interested to grow with us; apply away on the position that suits you best! Job Code: DS1b Prerequisites: CRM, AdWords, PPC Management, Branding, SEO *Salaries will be communicated to shortlisted candidates.",{}
Recommend hostel for fast islamabd?,{'Sourav MaLani': {}}
,"{'Hamza Ali Imran': {}, 'Ali Arif': {}}"
,"{'Hassan Ibrahim': {'text': 'Mine 59.75 any chance in fast BSCS isb??'}, 'Hassaan Mahboob': {}}"
,"{'Ihtisham Shami': {'text': 'cs per semester fee??'}, 'Quassain Raza': {}}"
BBA ka closing merit koi bta sakta hay fast islamabad campus??any one,{'Rehan Shabbir': {'text': '1st list mein 59 tha'}}
"Fast ma ELECTRICAL ENGINEERING, CYBER SECURITY aur ARTIFICIAL INTELLIGENCE ma sa konsa best ha?  Ageyy kis ka scope zyada acha ha.. agar koi senior inn department se ha to plz woh bhi lazmi guide kree.","{'Mubashir Ali': {'text': 'I think EE because there other fields are good for MS'}, 'Hamza Ali Imran': {}}"
,"{'Ubair Xultan': {}, 'Muhammad Salman Alvi': {}}"
Yrrr koi bata di main ni apply Islamabad campus main kiyaa ta muji peshawar campus main q mil raha hain admission????,"{'Hamza Saleem': {'text': 'Bcz islamabad ki seats khatam hain bhai'}, 'Sibtain Mustahsin': {}}"
,"{'Waqas Kayani': {'text': 'Hi Asif Mujeeb please join Fastian .net forum'}, 'Syed Muhammad Ibtisam': {'text': 'u will know all this on orientation day'}}"
" Candidate must have: + Proven work experience as a UI/UX Designer or similar role + Portfolio of design projects... + Up-to-date knowledge of design software like Adobe Illustrator and Photoshop etc +Team spirit; strong communication skills to collaborate with various stakeholders +Good time-management skills +Excellent English communication skills + Positive, energetic and respectful behavior Responsibilities: * Gather and evaluate user requirements in collaboration with product managers and engineers. * illustrate design ideas using storyboards, process flows and sitemaps * Develop UI mockups and prototypes that clearly illustrate how sites function and look *Prepare and present rough drafts to internal teams and key stakeholders *Identify and troubleshoot UX problems (e.g. responsiveness) * Adhere to style standards on fonts, colors and images Minimum BS in Computer Science or relevant field is required Only Shortlisted CV will be contacted",{}
,"{'Afnan Sohail': {'text': 'Programming Fundamentals, Applied Physics, Calculus-1, …See More'}, 'Irfan Malik': {'text': 'ITC,Linear Algebra,Calculus-I…See More'}}"
My score is 61.89 n closing of fast first merit was 62 this year.  Do I have any chance in second merit list? Will there be a second list?,"{'Hamza Ali Imran': {'text': 'Never trust on unofficial merits etc which you get on fb.  Fast never should its merit except cut of of nts one. So may be the figures u have are not correct'}, 'Hina Malik': {}}"
anyone who do MS-SE from Fast ?,{'Mohammad Farooq': {}}
Fast uni ma bs software enginring kn kar rha ha,"{'Mohammad Farooq': {'text': 'MS'}, 'Abuzar Mehar': {}}"
any here who selected in MS SE ? when will be orientation day ?,{'Aanif Zia Taimuri': {}}
Need serious advice mein ne change of preference ki application fast islamabad mein submit krwai he uska result 31st ke bd aye ga and conditionally mera fast Peshawar mein hoo gaya!! What should i do to wait for 2nd merit list or go for fast Peshawar becoz my aggregate is 62.22 and fast islamabad 1st merit list aggregate is 62!!???,"{'Malik Ahmed': {'text': 'Guys go for comsats isb which is a lot better option than peshawar'}, 'Muhammad Uzair': {'text': 'Yar fast peshawar bhi bht achi, sab campuses same ho hoty, me peshawar me ho to me satisfy hu sab faculty etc se'}}"
I got conditionally selected for FAST Peshawar for BS(CS) but my aggregate is 65. Should I expect to be selected in Isl campus or no?,"{'Minahil Irshad': {'text': 'Ofc mine was 65 n I was selected tho I chose COMSATs better option than fast isb due to relative grading and GPA nhi dete yeh bahi! CV me 1.9 2.0 GPA ho tu is sy behtar h wo uni choose kro that gives you gpa at least'}, 'Muhammad Umair': {}}"
Is it possible to switch from MSCS to MSDS though I have submitted fee for MSCS?????,{'Umer Arshad Butt': {}}
,{'Shabieh Ul Hassan': {}}
Second List isb campus ki kab lagegi?,"{'Ihtisham Shami': {'text': 'bhai koi bTyega cs per semester fee??'}, 'Aadil Farooq': {}}"
,{}
,{}
Bhai koi next bta da kab admishn hona bs software enginring k lia,"{'Umar Munir': {}, 'Hamza Saleem': {'text': 'Bhai december ya january mein dobara fast kay admissions open hoon gay os waqt karlena'}}"
,"{'Talha Anwar': {'text': 'Link list all types, sorting algorithm, recursive function, graphs'}}"
Recommend female hostels near fast isb?,{}
MS EE ki classes Kis time hoty morning ya evening ?,"{'Saba Rasheed Malik': {}, 'Wasim Iqbal': {'text': 'What about MS CS or MS CNS?'}}"
Preference was Fast-Lahore Conditionally selected for FAST-PWR How to change that from peshawer to Faisalabad or Karachi q Kay unkay merit pay a jata hay mera name.,"{'Mubashir Ali': {}, 'Saba Rasheed Malik': {'text': 'Go to Faisalabad Campus asap and meet Mr. Naeem in academics. Your aggregated score (51) is enough to be enrolled in that campus.'}}"
,"{'Hamza Ali Imran': {'text': ""Next year they don't offer admission in spring""}}"
Bs (artificial intelligence) kesi field ha . please guide !,"{'Salman Anwaar': {'text': 'AI is the emerging field. Jb tk graduate hogy tb tk buhat jobs opportunity hongi'}, 'Hamza Ali Imran': {'text': 'its the future and the present I wish this program was being offered at my time.'}}"
Aoa  I need help  Mai fast mai MS computer science K liye apply Karna chahta hun  So GAT test de to fast K b test dena hoga kiaa??,{'Saba Rasheed Malik': {'text': 'Both are valid and both tests has their own cut points. You need to fulfil cutpoint criteria as per respective test.'}}
Anyone in cyber security and digital forensics ?,"{'Syed Muhammad Ali': {'text': 'Im a third semester cs student i think that field is a good one'}, 'Rehan Shabbir': {}}"
My aggregate is 63.02% and i have taken admission in Bs(Ai)  agr second list ma Bs(Cs) ma nam  agya tu change kiya ja skta h field? please guide,"{'Saba Rasheed Malik': {'text': 'You better contact Centeral academics, Room-208. You can switch to respective program if your aggregated score is within cut point of desired program.'}, 'Aafaq Hussain': {'text': 'Yes, only if you are on merit for the CS. There were a couple of people in my batch who switched from EE to CS.'}}"
Fast university karachi mai skill level par study karai jati hai means languages like c# and python etc toh sikhaii jayengi ya phr saari other universities ki tarah theory hi parahi jayegi  so that i make my plans for extra skills,"{'Ammar Shaukat': {}, 'Hassaan Rajput': {'text': 'Please keep in mind that learning a language is not a problem when your problem solving and logic building skills are up to the mark.The theory that you’re talking about is what actually helps you in this. Without that theory you’d just be a mechanic …See More'}}"
What is the monthly average expenditure of people staying at hostels?,"{'Muhammad Burhan': {'text': '10-14k mei hostel mil jaye ga... oper apna kharcha jitna marzi kar lo'}, 'Syed Ali Hasnain': {}}"
cs per semester fee??,"{'Muhammad Kamran Arif': {}, 'Sourav MaLani': {}}"
aoa everyone. i've got selected in MSCS in islamabad campus. main ye puchna chahta hun k kia job k sath manage ho jata hai yahan MS?,"{'Asim Swati': {'text': 'Ali Savi nothing is impossible or difficult if you are committed and have fate that you can do it. I have done MS from Fast not with only one Job but with two jobs and with Alhumdulillah very good grades.  Pay attention to Sir Hasan Mujtaba advise, He is my beloved teacher . Never give up. It’s a long and tough road but worth to drive on.'}, 'Imad Ali': {'text': 'FAST ka MS shuru kr k to faikhJOB bhool jayega...'}}"
CS from FAST or Software Engineering from NUST?,"{'Umar Saeed': {'text': 'Fast'}, 'Shuja Ur Rehman': {'text': 'Fast'}}"
,"{'Mina Chaudhry': {}, 'Rana Farhan Wadood': {}}"
Mere dost ka Fast Peshawar mey admission hoa hy wo fast Islamabad mey migration krana chah raha is it possible ????,"{'Saadi Hassan': {'text': 'There are certain cases of migration:1) mutual migration ( any isb campus boy if migrating to pwr, catxh him and file your migration as a mutual with him)2) if father is no more and family is residing in any city nearest to isb or in isb.…See More'}, 'Abdul Rasheed Hassan Khan': {'text': 'Ap ye kr sakty hain k fast psh main admission len. Next year ap ko phr isb campus k liye entry test main appear hona parhyga. Agr ap merit pay aty hain tab he ap transfer kr sakty hain. Otherwise nearly impossible hai transfer krna.'}}"
,"{'Ayesha Ahmad Khan': {}, 'Talal Ahmed': {}}"
"Ladies and gentlemen,  We would like to announce that the countdown for the *AMBASSADOR CALL* has finally begun. So get a chance to become an ambassador from yo...ur institution for the 7th International Science & Youth Symposium which is going to be bigger, better and greater than ever  Our Ambassador Call starts in just 2 days. Stay tuned!  #7th #ISYS ComingSoon!",{}
Alhumdullilah Got selected in fast bscs islamabad campus 😀,"{'Zee X Shan': {'text': 'How to calculate aggregate and  congrats'}, 'Zain Hassan Chaudry': {}}"
Comsats or ims peshawar for software engineering?,{'Farooq Khan': {}}
,"{'Saqib Fayyaz': {}, 'Talha Anwar': {'text': 'If timing are flexible , I can join'}}"
,{'Hammad Khan': {'text': 'C how to programme'}}
Any flat or studio apartment near Fast university islamabad ? ksi ko pta ho tu guide kr dain kindly,"{'Zaib Ali': {}, 'Adan Khan': {}}"
,{'Raheel Asim': {}}
,"{'Muhammad Ahmad': {}, 'Mohammad Farooq': {}}"
,"{'Adan Khan': {}, 'Zaid Khan': {}}"
,{'Hamza Ali Imran': {}}
FAST eligibility matric 60% and fsc 50% hai na BSCS ki?,"{'Muheed Khan': {'text': '2nd list lb lga gi?'}, 'Nasir Hussain': {}}"
,{'Muhammad Javed': {}}
,{}
Can anyone tell me how to migrate from one campus of fast to other,"{'Shabbir Ahmed': {}, 'Omair Hasan': {}}"
Seniors need expert review about MS EE How is faculty and how easy is to get good cgpa? How can we compare it to Comsats and Nust which uni do you recommend? what problems do you face like limited courses being offered or regarding schedule or anything else? Lastly how is campus social life? Thanks in advance,"{'Ahmad Waleed Hamid': {}, 'Hasnat Gilani': {}}"
,"{'Rehan Shabbir': {}, 'Farooq Khan': {}}"
"Yoo guys i have a question that which programming language is taught in Fast Bs Cs ? Python, java  or C++ ??","{'Hamza Ali Imran': {}, 'Syed Ali Hasnain': {}}"
If someone has 48% marks in matric and 60% fsc is he eligible for admission,"{'Sami Azam': {}, 'Muiz Ahmad': {'text': 'No. Their eligibility criteria says a minimum of 60% matric.'}}"
orientation 9 Aug ko hai ya 17 Aug ko?,"{'Umair Afzal': {}, 'Farooq Khan': {'text': 'Ap ko mail mila hai kia orientation ka?'}}"
hello;🙂 fast pshwr mai agr admission krly bnda...tau bad mai migration hoskta kisi or campus mai? or knsa campus achw h fast ka?,{'Quassain Raza': {'text': 'Han agar dubara test do aur merit pe ao.'}}
,"{'Subh Rao': {}, 'Jason Smith': {}}"
aoa everyone. i've got selected in MSCS in islamabad campus. main ye puchna chahta hun k kia job k sath manage ho jata hai yahan MS? or uni walay koi jobs offer krty hain MS students ko? or krty hain to kis type ki hoti hain? means teaching associates ya research side py?,"{'Talha Anwar': {'text': 'There are some labs jobs in fast , you can apply for that. Yup you can manage job with master, if your firm allow you. Because class schedule is but arbitrary'}, 'Eman Atta': {'text': 'Manageable with job because one of my family friend is doing job in mscs from fast'}}"
AOA FAST Islamabad may MSCS ki evening classes hoti hy ya morning. Kindly help me thanks.,{}
,{'Muhammad Junaid Ali': {}}
aoa everyone. i've got selected in MSCS in islamabad campus. main ye puchna chahta hun k kia job k sath manage ho jata hai yahan MS? or uni walay koi jobs offer krty hain MS students ko? or krty hain to kis type ki hoti hain? means teaching associates ya research side py?,{}
,{}
What was the closing merit of bba?,"{'Haris Ahmad': {}, 'Rehan Shabbir': {}}"
Any one in MS M sec isb campus?? 😉,{}
,{'Jason Smith': {}}
,"{'Sheraz Malik': {}, 'Novaira Ejaz': {}}"
BS cyber security from Fast Isb or Bs Cs from Fast peshawer,"{'Mubashir Ali': {}, 'Salman Anwaar': {}}"
,"{'Ahmad Abbasi': {}, 'ATika Shahid': {}}"
,"{'Huzaifa Musharaf': {}, 'Muhammad Najam Sheraz': {}}"
Any Ms EE student here ?,{}
"A leading IT company based in Islamabad is urgently hiring Java Developer  For Java Developer role the resource must have 2-3 years of total work experience in core java, development, J2EE, strong in OOP, experience of dealing with ERP projects will be a huge plus. -Job timings: 11 am - 8 pm Excellent package will be offered to the shortlisted resource. Only those apply who can work in the above mentioned office timings. Apply at: ehtishamhrm7@gmail.com (Mention Java Developer in subject)",{}
Hllo everyone . My merit in fast nu is 62  is there any chance in 2nd merit list...cs,"{'Talal Ahmed': {'text': 'yup chance hai agar apne islamabad me apply kia'}, 'Muhammad Shehroz Ali Khan': {'text': ""Confirm... I have 62.24 aggregate and i am selected in Cs. But can't join it""}}"
Fast bs second list?  Kb lgygi..,"{'Shafaq Umair': {'text': 'Talha Rabbani'}, 'Vzir Shehryar': {}}"
"Hay. Member’s! I wanaa know about fast Mba? I got selection letter, but i don’t know this letter is for morning or evening? Because at the time of admition application, its not mentioned that either we are applying for morning or evening.. nd i want to get admition in evening timings, so is there any possiblty if this letter for morning can we shift to eveining? Nd as well as what’s the timing for morning and evening session?","{'Ghulam Mustafa': {'text': 'I don’t think so that they have option for evening program during our batch they only had morning programs'}, 'Soha Saqib': {'text': 'MBA is morning program'}}"
"Yrr I've been Selected for BBA in Fast islamabad, Can someone pls tell me about hostels there? Plus is it better that I do BBA from FAST or I should do some engineering stuff from IST?","{'Hammad Khan': {}, 'Ali Hassan': {'text': 'Mt lil bro, it’s depend upon your choice either you want to pursue Engineering or BBA. Because in future it doesn’t matter in which field you did your degree but what you know about your field and how much passionate will matter alot.'}}"
Any reviews for MS Data Science from Fast islamabad? Fast mei kabse MS Data Science karwa rahe? aur merit kiska zyada hota CS or Data science?,{}
,"{'Muiz Ahmad': {}, 'Syed Muhammad Ibtisam': {}}"
CS ke fees jama krane ke last date 30th july ha??,"{'Muhammad Ahmad': {}, 'Rehan Shabbir': {'text': 'Apna result khol kr check kr lo likha ata hy wahan'}}"
,{'Rehan Shabbir': {}}
,{'Aanif Zia Taimuri': {}}
"#Position #IT #Support #Engineer #Service #Coordinator #Islamabad #Multinational Position: IT Support Engineer  Education: BSCS, Bs IT, Bs Software Engineering Note: Maintain high performing service support functions including IT Service Desk, Desktop Support and VIP Support 1 to 3 years of work experience in IT industry preferably  Interested candidates, Please share your resume at farooq@rightjobs.pk",{}
How's Peshawar campus of Fast and how's it's bs cs dept.???,"{'Jason Smith': {'text': 'FAST peshawar is so BLACK & its CS DEPT is YELLOW.Thankyou.'}, 'Usman Haider': {}}"
"Long time not been in touch, graduated from Fast 5 years ago. I want to check for someone what's the closing merit for BBA - someone I know got 54  in test and appears not selected ( should be waiting )",{'Saad Gulfam': {'text': '59 is the cut off for bbaI got selected with 59.2'}}
MS(Data Science) from fast MSCS from Comsats,"{'Umair Hassan': {}, 'Mina Chaudhry': {'text': 'MS data science.Preferably from abroad.'}}"
